section,index,name,t,x,y,z,vx,vy,vz,ax,ay,az,yaw
crossing,1,G1,1.142366,2.000000,-0.300000,1.300000,,,,,,
crossing,2,G6,3.509326,4.400000,3.600000,2.500000,,,,,,
crossing,3,G3,6.976313,6.000000,-3.000000,1.100000,,,,,,
crossing,4,G2,10.440776,8.400000,3.300000,2.700000,,,,,,
crossing,5,G5,11.871684,10.300000,2.000000,1.000000,,,,,,
crossing,6,G4,14.464463,12.396199,-2.188232,3.199547,,,,,,
sample,0,drone,0.000000,0.000000,-1.400000,1.200000,0.008111,0.004461,0.000406,0.930492,0.511771,0.046525,0.502843
sample,1,drone,0.024998,0.000203,-1.399888,1.200010,0.031371,0.017254,0.001569,1.803329,0.991831,0.090166,0.502843
sample,2,drone,0.049996,0.001568,-1.399137,1.200078,0.098270,0.054049,0.004914,3.431083,1.887096,0.171554,0.502843
sample,3,drone,0.074994,0.005116,-1.397186,1.200256,0.202913,0.111602,0.010146,4.823270,2.652798,0.241163,0.502843
sample,4,drone,0.099992,0.011713,-1.393558,1.200586,0.339416,0.186679,0.016971,5.985949,3.292272,0.299297,0.502843
sample,5,drone,0.124991,0.022085,-1.387853,1.201104,0.502187,0.276203,0.025109,6.930683,3.811876,0.346534,0.502843
sample,6,drone,0.149989,0.036821,-1.379749,1.201841,0.685924,0.377258,0.034296,7.669035,4.217969,0.383452,0.502843
sample,7,drone,0.174987,0.056379,-1.368992,1.202819,0.885610,0.487086,0.044281,8.212566,4.516912,0.410628,0.502843
sample,8,drone,0.199985,0.081098,-1.355396,1.204055,1.096521,0.603087,0.054826,8.572841,4.715063,0.428642,0.502843
sample,9,drone,0.224983,0.111201,-1.338839,1.205560,1.314220,0.722821,0.065711,8.761421,4.818782,0.438071,0.502843
sample,10,drone,0.249981,0.146804,-1.319258,1.207340,1.534559,0.844007,0.076728,8.789869,4.834428,0.439493,0.502843
sample,11,drone,0.274979,0.187923,-1.296642,1.209396,1.753680,0.964524,0.087684,8.669748,4.768362,0.433487,0.502843
sample,12,drone,0.299977,0.234481,-1.271035,1.211724,1.968014,1.082408,0.098401,8.412621,4.626942,0.420631,0.502843
sample,13,drone,0.324975,0.286316,-1.242526,1.214316,2.174279,1.195854,0.108714,8.030050,4.416527,0.401502,0.502843
sample,14,drone,0.349974,0.343187,-1.211247,1.217159,2.369486,1.303217,0.118474,7.533597,4.143478,0.376680,0.502843
sample,15,drone,0.374972,0.404782,-1.177370,1.220239,2.550931,1.403012,0.127547,6.934826,3.814154,0.346741,0.502843
sample,16,drone,0.399970,0.470724,-1.141102,1.223536,2.716201,1.493911,0.135810,6.245299,3.434915,0.312265,0.502843
sample,17,drone,0.424968,0.540582,-1.102680,1.227029,2.863172,1.574745,0.143159,5.476579,3.012119,0.273829,0.502843
sample,18,drone,0.449966,0.613872,-1.062370,1.230694,2.990009,1.644505,0.149500,4.640229,2.552126,0.232011,0.502843
sample,19,drone,0.474964,0.690071,-1.020461,1.234504,3.095166,1.702341,0.154758,3.747810,2.061296,0.187391,0.502843
sample,20,drone,0.499962,0.768619,-0.977260,1.238431,3.177386,1.747562,0.158869,2.810887,1.545988,0.140544,0.502843
sample,21,drone,0.524960,0.848928,-0.933090,1.242446,3.235700,1.779635,0.161785,1.841020,1.012561,0.092051,0.502843
sample,22,drone,0.549958,0.930391,-0.888285,1.246520,3.269430,1.798186,0.163471,0.849774,0.467376,0.042489,0.502843
sample,23,drone,0.574957,1.012387,-0.843187,1.250619,3.278185,1.803002,0.163909,-0.151289,-0.083209,-0.007564,0.502843
sample,24,drone,0.599955,1.094288,-0.798141,1.254714,3.261866,1.794026,0.163093,-1.150607,-0.632834,-0.057530,0.502843
sample,25,drone,0.624953,1.175468,-0.753493,1.258773,3.220659,1.771363,0.161033,-2.136617,-1.175139,-0.106831,0.502843
sample,26,drone,0.649951,1.255309,-0.709580,1.262765,3.155043,1.735274,0.157752,-3.097755,-1.703765,-0.154888,0.502843
sample,27,drone,0.674949,1.333208,-0.666735,1.266660,3.065783,1.686181,0.153289,-4.022461,-2.212353,-0.201123,0.502843
sample,28,drone,0.699947,1.408587,-0.625277,1.270429,2.953935,1.624664,0.147697,-4.899170,-2.694544,-0.244959,0.502843
sample,29,drone,0.724945,1.480894,-0.585508,1.274045,2.820843,1.551464,0.141042,-5.716321,-3.143976,-0.285816,0.502843
sample,30,drone,0.749943,1.549618,-0.547710,1.277481,2.668141,1.467477,0.133407,-6.462350,-3.554292,-0.323117,0.502843
sample,31,drone,0.774942,1.614291,-0.512140,1.280715,2.497750,1.373763,0.124888,-7.125695,-3.919132,-0.356285,0.502843
sample,32,drone,0.799940,1.674496,-0.479027,1.283725,2.311883,1.271536,0.115594,-7.694793,-4.232136,-0.384740,0.502843
sample,33,drone,0.824938,1.729876,-0.448568,1.286494,2.113040,1.162172,0.105652,-8.158082,-4.486945,-0.407904,0.502843
sample,34,drone,0.849936,1.780140,-0.420923,1.289007,1.904010,1.047205,0.095200,-8.503999,-4.677199,-0.425200,0.502843
sample,35,drone,0.874934,1.825070,-0.396212,1.291253,1.687872,0.928329,0.084394,-8.720981,-4.796540,-0.436049,0.502843
sample,36,drone,0.899932,1.864527,-0.374510,1.293226,1.467994,0.807396,0.073400,-8.797466,-4.838606,-0.439873,0.502843
sample,37,drone,0.924930,1.898464,-0.355845,1.294923,1.248032,0.686417,0.062402,-8.721890,-4.797040,-0.436095,0.502843
sample,38,drone,0.949928,1.926924,-0.340192,1.296346,1.031932,0.567563,0.051597,-8.482692,-4.665481,-0.424135,0.502843
sample,39,drone,0.974926,1.950057,-0.327469,1.297503,0.823929,0.453161,0.041196,-8.068308,-4.437570,-0.403415,0.502843
sample,40,drone,0.999925,1.968118,-0.317535,1.298406,0.628547,0.345701,0.031427,-7.467176,-4.106947,-0.373359,0.502843
sample,41,drone,1.024923,1.981482,-0.310185,1.299074,0.450598,0.247829,0.022530,-6.667734,-3.667254,-0.333387,0.502843
sample,42,drone,1.049921,1.990646,-0.305145,1.299532,0.295185,0.162352,0.014759,-5.658418,-3.112130,-0.282921,0.502843
sample,43,drone,1.074919,1.996240,-0.302068,1.299812,0.167699,0.092234,0.008385,-4.427666,-2.435216,-0.221383,0.502843
sample,44,drone,1.099917,1.999030,-0.300533,1.299952,0.073819,0.040600,0.003691,-2.965936,-1.630932,-0.148157,0.502843
sample,45,drone,1.124915,1.999930,-0.300038,1.299997,0.019413,0.010694,0.000978,-1.424168,-0.757011,-0.060207,0.503501
sample,46,drone,1.149913,2.000001,-0.299999,1.300000,0.002616,0.002753,0.000681,-0.255627,0.001690,0.046780,0.810878
sample,47,drone,1.174911,2.000061,-0.299901,1.300031,0.006633,0.010778,0.003316,0.309407,0.532749,0.167246,1.019141
sample,48,drone,1.199909,2.000332,-0.299460,1.300166,0.018085,0.029388,0.009042,0.574574,0.933683,0.287287,1.019141
sample,49,drone,1.224908,2.000965,-0.298431,1.300483,0.035359,0.057459,0.017680,0.799394,1.299016,0.399697,1.019141
sample,50,drone,1.249906,2.002100,-0.296587,1.301050,0.058052,0.094334,0.029026,1.008213,1.638346,0.504106,1.019141
sample,51,drone,1.274904,2.003868,-0.293715,1.301934,0.085766,0.139370,0.042883,1.201393,1.952263,0.600696,1.019141
sample,52,drone,1.299902,2.006388,-0.289619,1.303194,0.118117,0.191940,0.059058,1.379298,2.241358,0.689649,1.019141
sample,53,drone,1.324900,2.009773,-0.284119,1.304887,0.154726,0.251430,0.077363,1.542291,2.506222,0.771145,1.019141
sample,54,drone,1.349898,2.014124,-0.277049,1.307062,0.195226,0.317241,0.097613,1.690736,2.747445,0.845368,1.019141
sample,55,drone,1.374896,2.019534,-0.268258,1.309767,0.239256,0.388792,0.119628,1.824995,2.965617,0.912498,1.019141
sample,56,drone,1.399894,2.026086,-0.257610,1.313043,0.286468,0.465511,0.143234,1.945433,3.161329,0.972717,1.019141
sample,57,drone,1.424892,2.033856,-0.244984,1.316928,0.336521,0.546846,0.168260,2.052413,3.335171,1.026207,1.019141
sample,58,drone,1.449891,2.042911,-0.230270,1.321455,0.389081,0.632257,0.194541,2.146298,3.487734,1.073149,1.019141
sample,59,drone,1.474889,2.053309,-0.213374,1.326654,0.443827,0.721220,0.221914,2.227451,3.619608,1.113725,1.019141
sample,60,drone,1.499887,2.065100,-0.194212,1.332550,0.500445,0.813224,0.250223,2.296236,3.731383,1.148118,1.019141
sample,61,drone,1.524885,2.078329,-0.172716,1.339164,0.558631,0.907775,0.279315,2.353015,3.823650,1.176508,1.019141
sample,62,drone,1.549883,2.093030,-0.148827,1.346515,0.618087,1.004392,0.309044,2.398153,3.896999,1.199077,1.019141
sample,63,drone,1.574881,2.109231,-0.122500,1.354615,0.678529,1.102610,0.339265,2.432013,3.952021,1.216007,1.019141
sample,64,drone,1.599879,2.126954,-0.093700,1.363477,0.739679,1.201978,0.369839,2.454958,3.989307,1.227479,1.019141
sample,65,drone,1.624877,2.146212,-0.062405,1.373106,0.801268,1.302060,0.400634,2.467351,4.009445,1.233676,1.019141
sample,66,drone,1.649875,2.167014,-0.028602,1.383507,0.863037,1.402435,0.431519,2.469556,4.013028,1.234778,1.019141
sample,67,drone,1.674874,2.189361,0.007711,1.394680,0.924736,1.502696,0.462368,2.461936,4.000645,1.230968,1.019141
sample,68,drone,1.699872,2.213247,0.046527,1.406624,0.986125,1.602452,0.493062,2.444854,3.972888,1.222427,1.019141
sample,69,drone,1.724870,2.238663,0.087828,1.419332,1.046970,1.701326,0.523485,2.418674,3.930345,1.209337,1.019141
sample,70,drone,1.749868,2.265592,0.131587,1.432796,1.107049,1.798955,0.553525,2.383759,3.873608,1.191879,1.019141
sample,71,drone,1.774866,2.294011,0.177769,1.447006,1.166149,1.894992,0.583074,2.340472,3.803267,1.170236,1.019141
sample,72,drone,1.799864,2.323895,0.226329,1.461947,1.224064,1.989104,0.612032,2.289177,3.719913,1.144589,1.019141
sample,73,drone,1.824862,2.355210,0.277216,1.477605,1.280599,2.080973,0.640299,2.230237,3.624135,1.115119,1.019141
sample,74,drone,1.849860,2.387920,0.330370,1.493960,1.335567,2.170297,0.667784,2.164016,3.516525,1.082008,1.019141
sample,75,drone,1.874858,2.421983,0.385723,1.510992,1.388792,2.256786,0.694396,2.090876,3.397673,1.045438,1.019141
sample,76,drone,1.899857,2.457354,0.443201,1.528677,1.440103,2.340168,0.720052,2.011181,3.268169,1.005591,1.019141
sample,77,drone,1.924855,2.493983,0.502723,1.546992,1.489343,2.420182,0.744672,1.925295,3.128604,0.962647,1.019141
sample,78,drone,1.949853,2.531816,0.564201,1.565908,1.536361,2.496586,0.768180,1.833580,2.979568,0.916790,1.019141
sample,79,drone,1.974851,2.570795,0.627542,1.585398,1.581015,2.569150,0.790508,1.736401,2.821651,0.868200,1.019141
sample,80,drone,1.999849,2.610861,0.692649,1.605430,1.623174,2.637658,0.811587,1.634120,2.655445,0.817060,1.019141
sample,81,drone,2.024847,2.651948,0.759415,1.625974,1.662715,2.701912,0.831357,1.527100,2.481538,0.763550,1.019141
sample,82,drone,2.049845,2.693990,0.827734,1.646995,1.699523,2.761726,0.849762,1.415706,2.300523,0.707853,1.019141
sample,83,drone,2.074843,2.736918,0.897491,1.668459,1.733495,2.816929,0.866747,1.300301,2.112988,0.650150,1.019141
sample,84,drone,2.099841,2.780658,0.968570,1.690329,1.764534,2.867367,0.882267,1.181247,1.919526,0.590623,1.019141
sample,85,drone,2.124840,2.825138,1.040849,1.712569,1.792553,2.912898,0.896276,1.058908,1.720725,0.529454,1.019141
sample,86,drone,2.149838,2.870279,1.114204,1.735140,1.817475,2.953397,0.908737,0.933647,1.517177,0.466824,1.019141
sample,87,drone,2.174836,2.916005,1.188507,1.758002,1.839232,2.988751,0.919616,0.805829,1.309471,0.402914,1.019141
sample,88,drone,2.199834,2.962234,1.263630,1.781117,1.857763,3.018865,0.928882,0.675815,1.098200,0.337908,1.019141
sample,89,drone,2.224832,3.008886,1.339439,1.804443,1.873020,3.043657,0.936510,0.543970,0.883951,0.271985,1.019141
sample,90,drone,2.249830,3.055878,1.415801,1.827939,1.884960,3.063060,0.942480,0.410657,0.667317,0.205328,1.019141
sample,91,drone,2.274828,3.103127,1.492581,1.851563,1.893551,3.077021,0.946776,0.276239,0.448888,0.138119,1.019141
sample,92,drone,2.299826,3.150548,1.569641,1.875274,1.898771,3.085502,0.949385,0.141079,0.229253,0.070540,1.019141
sample,93,drone,2.324825,3.198058,1.646844,1.899029,1.900605,3.088482,0.950302,0.005541,0.009005,0.002771,1.019141
sample,94,drone,2.349823,3.245571,1.724053,1.922786,1.899048,3.085953,0.949524,-0.130011,-0.211269,-0.065006,1.019141
sample,95,drone,2.374821,3.293003,1.801130,1.946502,1.894104,3.077920,0.947052,-0.265216,-0.430975,-0.132608,1.019141
sample,96,drone,2.399819,3.340269,1.877938,1.970135,1.885788,3.064405,0.942894,-0.399708,-0.649525,-0.199854,1.019141
sample,97,drone,2.424817,3.387285,1.954339,1.993643,1.874121,3.045446,0.937060,-0.533125,-0.866328,-0.266563,1.019141
sample,98,drone,2.449815,3.433968,2.030198,2.016984,1.859134,3.021092,0.929567,-0.665104,-1.080794,-0.332552,1.019141
sample,99,drone,2.474813,3.480235,2.105382,2.040118,1.840868,2.991410,0.920434,-0.795281,-1.292331,-0.397640,1.019141
sample,100,drone,2.499811,3.526005,2.179758,2.063002,1.819373,2.956481,0.909686,-0.923292,-1.500350,-0.461646,1.019141
sample,101,drone,2.524809,3.571197,2.253195,2.085598,1.794707,2.916398,0.897353,-1.048775,-1.704260,-0.524388,1.019141
sample,102,drone,2.549808,3.615733,2.325567,2.107867,1.766938,2.871274,0.883469,-1.171367,-1.903471,-0.585683,1.019141
sample,103,drone,2.574806,3.659537,2.396748,2.129769,1.736143,2.821232,0.868071,-1.290703,-2.097392,-0.645351,1.019141
sample,104,drone,2.599804,3.702534,2.466618,2.151267,1.702408,2.766412,0.851204,-1.406420,-2.285433,-0.703210,1.019141
sample,105,drone,2.624802,3.744651,2.535058,2.172326,1.665827,2.706969,0.832914,-1.518156,-2.467003,-0.759078,1.019141
sample,106,drone,2.649800,3.785819,2.601956,2.192909,1.626506,2.643071,0.813253,-1.625546,-2.641513,-0.812773,1.019141
sample,107,drone,2.674798,3.825970,2.667202,2.212985,1.584556,2.574903,0.792278,-1.728228,-2.808371,-0.864114,1.019141
sample,108,drone,2.699796,3.865041,2.730691,2.232520,1.540101,2.502663,0.770050,-1.825838,-2.966987,-0.912919,1.019141
sample,109,drone,2.724794,3.902969,2.792325,2.251485,1.493271,2.426565,0.746635,-1.918013,-3.116771,-0.959007,1.019141
sample,110,drone,2.749792,3.939699,2.852010,2.269849,1.444207,2.346837,0.722104,-2.004389,-3.257133,-1.002195,1.019141
sample,111,drone,2.774791,3.975174,2.909658,2.287587,1.393059,2.263721,0.696529,-2.084604,-3.387481,-1.042302,1.019141
sample,112,drone,2.799789,4.009346,2.965188,2.304673,1.339985,2.177475,0.669992,-2.158293,-3.507226,-1.079146,1.019141
sample,113,drone,2.824787,4.042169,3.018524,2.321084,1.285152,2.088373,0.642576,-2.225093,-3.615777,-1.112547,1.019141
sample,114,drone,2.849785,4.073599,3.069599,2.336800,1.228739,1.996700,0.614369,-2.284642,-3.712543,-1.142321,1.019141
sample,115,drone,2.874783,4.103601,3.118351,2.351800,1.170929,1.902760,0.585465,-2.336575,-3.796935,-1.168288,1.019141
sample,116,drone,2.899781,4.132141,3.164729,2.366071,1.111919,1.806868,0.555959,-2.380530,-3.868362,-1.190265,1.019141
sample,117,drone,2.924779,4.159193,3.208688,2.379596,1.051911,1.709356,0.525956,-2.416143,-3.926233,-1.208072,1.019141
sample,118,drone,2.949777,4.184733,3.250191,2.392366,0.991121,1.610571,0.495560,-2.443051,-3.969957,-1.221525,1.019141
sample,119,drone,2.974775,4.208745,3.289210,2.404372,0.929768,1.510873,0.464884,-2.460890,-3.998946,-1.230445,1.019141
sample,120,drone,2.999774,4.231218,3.325729,2.415609,0.868085,1.410639,0.434043,-2.469297,-4.012607,-1.234648,1.019141
sample,121,drone,3.024772,4.252146,3.359737,2.426073,0.806313,1.310258,0.403156,-2.467909,-4.010352,-1.233954,1.019141
sample,122,drone,3.049770,4.271530,3.391237,2.435765,0.744699,1.210136,0.372350,-2.456362,-3.991588,-1.228181,1.019141
sample,123,drone,3.074768,4.289378,3.420239,2.444689,0.683504,1.110694,0.341752,-2.434293,-3.955726,-1.217147,1.019141
sample,124,drone,3.099766,4.305703,3.446767,2.452851,0.622994,1.012365,0.311497,-2.401339,-3.902176,-1.200669,1.019141
sample,125,drone,3.124764,4.320525,3.470854,2.460263,0.563446,0.915600,0.281723,-2.357136,-3.830346,-1.178568,1.019141
sample,126,drone,3.149762,4.333873,3.492544,2.466937,0.505146,0.820862,0.252573,-2.301322,-3.739648,-1.150661,1.019141
sample,127,drone,3.174760,4.345781,3.511894,2.472890,0.448389,0.728631,0.224194,-2.233532,-3.629489,-1.116766,1.019141
sample,128,drone,3.199758,4.356291,3.528972,2.478145,0.393478,0.639401,0.196739,-2.153403,-3.499280,-1.076701,1.019141
sample,129,drone,3.224757,4.365453,3.543861,2.482727,0.340727,0.553681,0.170363,-2.060572,-3.348430,-1.030286,1.019141
sample,130,drone,3.249755,4.373326,3.556654,2.486663,0.290457,0.471992,0.145228,-1.954676,-3.176349,-0.977338,1.019141
sample,131,drone,3.274753,4.379975,3.567459,2.489987,0.243000,0.394875,0.121500,-1.835352,-2.982447,-0.917676,1.019141
sample,132,drone,3.299751,4.385475,3.576397,2.492737,0.198696,0.322881,0.099348,-1.702235,-2.766132,-0.851118,1.019141
sample,133,drone,3.324749,4.389909,3.583602,2.494954,0.157895,0.256579,0.078947,-1.554963,-2.526816,-0.777482,1.019141
sample,134,drone,3.349747,4.393369,3.589225,2.496685,0.120954,0.196550,0.060477,-1.393173,-2.263906,-0.696586,1.019141
sample,135,drone,3.374745,4.395956,3.593429,2.497978,0.088241,0.143392,0.044121,-1.216500,-1.976813,-0.608250,1.019141
sample,136,drone,3.399743,4.397781,3.596394,2.498890,0.060134,0.097717,0.030067,-1.024582,-1.664946,-0.512291,1.019141
